river_mouth,mean,min,max,se,std,li_mean,li_min,li_max,li_se,li_std,lo_mean,lo_min,lo_max,lo_se,lo_std,hi_mean,hi_min,hi_max,hi_se,hi_std
4,456.828690004896,284.388661313347,627.646153533412,45.5655971882836,136.696791564851,474.580684736577,284.388661313347,627.646153533412,8.30972714645906,129.535826532313,450.612839093708,284.388661313347,627.646153533412,10.3786728996,138.079262218372,538.858088960637,468.119005040734,610.229494993464,8.7797102579658,71.3267033172905
53,399.700638784397,0.94193303280748,757.08349841533,30.0917252848385,178.025047596221,421.444676171671,0.94193303280748,757.08349841533,4.5274322359045,149.747858281425,417.889210099537,0.94193303280748,757.08349841533,4.88882725456483,151.237907788365,446.281034062419,169.631601191919,592.528747925129,11.6914078944011,136.844420937784
54,355.545051222425,208.796199631181,520.236081616135,11.1121569383118,78.5748152468938,367.222641164882,208.796199631181,520.236081616135,1.83073122471958,73.1605643568291,368.842394296628,208.796199631181,520.236081616135,1.91728024404377,73.7592436960736,346.733456250505,236.223378589155,429.642087364299,5.71416613395411,61.8081569774741
55,362.415288871844,216.356064775335,465.931331254055,15.3517218006965,68.6549870360457,363.494905975664,266.514921623689,465.931331254055,2.41600484843071,60.1095014594995,351.337590048655,216.356064775335,465.931331254055,2.59798914294561,67.3475758908374,405.544252137667,275.08955487744,452.637536807665,5.5867129284263,40.6718840388076
59,456.810581715037,116.404386006062,749.553272034253,20.5550855045045,142.409809790897,485.742336131022,185.247946682864,749.553272034253,5.62251355933742,139.433801912714,435.755342424979,116.404386006062,650.879381925304,3.37963446507325,110.447364375533,589.551580694196,446.049871557959,749.553272034253,3.83061294192755,80.1687896488272
63,431.235661156072,233.46761874653,789.126495873511,17.410975766811,107.328462822283,442.72587627971,238.773634025728,789.126495873511,3.19770307111524,103.716058483886,447.798017856478,233.46761874653,789.126495873511,3.68313757218252,111.836457339832,397.10707212906,324.411961456796,530.24602386006,3.59593690843674,57.0837287400123
65,394.814116775734,171.993951839299,654.210119132517,18.4246446429046,117.97528867907,391.582579002962,171.993951839299,654.210119132517,3.1797548021458,107.924456789174,431.730237900227,171.993951839299,654.210119132517,3.66119688055215,106.489862231329,301.368259062761,244.151204449311,433.102917376987,2.32032264477022,42.0868408276176
66,326.75214902846,53.0542689896238,626.462104777884,16.2200023719478,120.290757051527,311.581140169722,116.790680081758,626.462104777884,3.5977107861563,114.845330057173,315.766050089074,53.0542689896238,626.462104777884,3.21742773346476,115.334799465676,418.83334993767,245.797768662631,626.462104777884,4.73683865772966,89.8751944029628
6,432.530625462907,292.714044321255,861.046359082986,17.7645561889725,119.168265685972,440.194000172891,292.714044321255,861.046359082986,3.08449032927044,121.475672450099,447.505023809852,292.714044321255,861.046359082986,3.52186235498801,127.664474243976,399.659464059099,302.196615449288,538.093333918248,4.25600359832351,65.5203425743442
74,297.345977478378,293.461850349877,299.951954865886,1.97952976128841,3.42864612164621,297.845873161914,293.461850349877,299.951954865886,0.203198366204985,2.52979925772741,297.845873161914,293.461850349877,299.951954865886,0.203198366204985,2.52979925772741,NaN,NaN,NaN,NaN,NaN
76,192.348671160902,27.3712455318619,606.691264606955,14.609199692883,122.229334026891,150.269490285743,27.3712455318619,468.855189352415,2.00323173739135,90.0340687476566,140.870898701492,27.3712455318619,395.730333962132,1.78136677610933,74.8386083392868,289.632323724082,62.627238495868,606.691264606955,6.41650690269287,152.923008578662
7,206.422054525447,113.421454619143,258.523379101449,24.444538522843,54.6596498156893,220.055364883466,113.421454619143,258.523379101449,3.01206646833506,38.2188389404574,219.571490490787,113.421454619143,258.523379101449,3.03045563372127,38.212591567761,258.523379101449,258.523379101449,258.523379101449,0,0
8,385.793813569537,248.307823487046,627.319174048964,31.7181191495476,109.874787775079,418.960630086247,248.307823487046,627.319174048964,5.62693370836871,107.059715257104,392.406793764801,248.307823487046,627.319174048964,4.64631411061486,82.9858235232086,615.953043726743,505.133273085087,627.319174048964,5.4763386173778,35.9107538217159
9,404.383678309116,46.6405289465844,602.957862681168,27.8737825388457,124.655345093811,434.094125827414,46.6405289465844,602.957862681168,3.58469882663168,92.3712271757965,435.125985626934,46.6405289465844,602.957862681168,3.6913040199472,93.091145303103,410.656167524046,325.067576619687,518.617068614868,13.513956839702,71.5091380526239
